country,Image URL
Afghanistan,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Flag_of_Afghanistan.svg/900px-Flag_of_Afghanistan.svg.png
Angola,https://cdn.countryflags.com/thumbs/angola/flag-400.png
Albania,https://cdn.countryflags.com/thumbs/albania/flag-400.png
Andorra,https://cdn.countryflags.com/thumbs/andorra/flag-400.png
Argentina,https://cdn.countryflags.com/thumbs/argentina/flag-400.png
Armenia,https://cdn.countryflags.com/thumbs/armenia/flag-400.png
Antigua and Barbuda,https://flagpedia.net/data/flags/w580/ag.png
Australia,https://cdn.countryflags.com/thumbs/australia/flag-400.png
Austria,https://cdn.countryflags.com/thumbs/austria/flag-400.png
Azerbaijan,https://cdn.countryflags.com/thumbs/azerbaijan/flag-400.png
Burundi,https://cdn.countryflags.com/thumbs/burundi/flag-400.png
Belgium,https://cdn.countryflags.com/thumbs/belgium/flag-400.png
Benin,https://cdn.countryflags.com/thumbs/benin/flag-400.png
Burkina Faso,https://cdn.countryflags.com/thumbs/burkina-faso/flag-400.png
Bangladesh,https://cdn.countryflags.com/thumbs/bangladesh/flag-400.png
Bulgaria,https://cdn.countryflags.com/thumbs/bulgaria/flag-400.png
Bahrain,https://cdn.countryflags.com/thumbs/bahrain/flag-400.png
"Bahamas, The",https://cdn.countryflags.com/thumbs/bahamas/flag-400.png
Bosnia and Herzegovina,https://cdn.countryflags.com/thumbs/bosnia-and-herzegovina/flag-400.png
Belarus,https://cdn.countryflags.com/thumbs/belarus/flag-400.png
Belize,https://cdn.countryflags.com/thumbs/belize/flag-400.png
Bermuda,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Flag_of_Bermuda.svg/800px-Flag_of_Bermuda.svg.png
Bolivia,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Flag_of_Bolivia_%28state%29.svg/800px-Flag_of_Bolivia_%28state%29.svg.png
Brazil,https://cdn.countryflags.com/thumbs/brazil/flag-400.png
Barbados,https://cdn.countryflags.com/thumbs/barbados/flag-400.png
Brunei Darussalam,https://upload.wikimedia.org/wikipedia/commons/6/66/Flag_of_Brunei_Darussalam.png
Bhutan,https://cdn.countryflags.com/thumbs/bhutan/flag-400.png
Botswana,https://cdn.countryflags.com/thumbs/botswana/flag-400.png
Central African Republic,https://upload.wikimedia.org/wikipedia/commons/e/e6/Flag_of_the_Central_African_Republic.png
